OBJECTID.x,CSA2010,PercAsian,OBJECTID.y,PercLatino,OBJECTID.x.x,PercBlk,OBJECTID.y.y,PercWhite,OBJECTID.x.x.x,tpop20,OBJECTID.y.y.y,mhhi20,OBJECTID.x.x.x.x,hhpov21,OBJECTID.y.y.y.y,bahigher19,PopDensity,Water.x,Tree Canopy.x,Scrub\Shrub.x,Herbaceous.x,Barren.x,Structures.x,Other Impervious.x,Roads.x,Tree Canopy over Structures.x,Tree Canopy over Other Impervious.x,Tree Canopy over Roads.x,Emergent Wetlands.x,total_area_in_pixels.x,PercCanopy,Water.y,Tree Canopy.y,Scrub\Shrub.y,Herbaceous.y,Barren.y,Structures.y,Other Impervious.y,Roads.y,Tree Canopy over Structures.y,Tree Canopy over Other Impervious.y,Tree Canopy over Roads.y,Emergent Wetlands.y,total_area_in_pixels.y,Imperv,PercentImp,Pervious,PercPervious,sum_road_length_ft,avg_temp
1,Allendale/Irvington/S. Hilton,1.045319665,1,3.135958996,1,85.21041273,1,6.858645805,1,14828,1,42714.60327,1,14.16755603,1,11.62898874,0.002502714875152875,22754,1615491,735,1849843,56677,659014,848396,554982,47000,147886,121988,0,5924766,27.266747750037723,22754,1615491,735,1849843,56677,659014,848396,554982,47000,147886,121988,0,5924766,2379266,40.15797417146939,3545500,59.84202582853061,98225.44097053003,31.37184511827775
2,Beechfield/Ten Hills/West Hills,1.489696267,2,3.732516759,2,74.90689398,2,15.7328478,2,12083,2,55435.50291,2,8.45752608,2,24.83667493,0.0027279945796827056,0,1860164,0,971804,1123,422162,445166,391248,61529,125096,150969,0,4429261,41.99716386096913,0,1860164,0,971804,1123,422162,445166,391248,61529,125096,150969,0,4429261,1596170,36.036937087247736,2833091,63.963062912752264,81643.75924660418,30.193108898413588
3,Belair-Edison,0.464037123,3,2.147828969,3,86.21146835,3,7.835598276,3,15085,3,50010.43737,3,18.91460495,3,15.77951905,0.0036121622472653765,1404,716723,703,1563562,9929,573513,569505,541533,24123,77620,97554,0,4176169,17.16221254455938,1404,716723,703,1563562,9929,573513,569505,541533,24123,77620,97554,0,4176169,1883848,45.1094771308345,2292321,54.890522869165494,116280.84093698542,31.946157791306927
4,Brooklyn/Curtis Bay/Hawkins Point,1.624749611,4,24.09674308,4,35.78158617,4,31.73084057,4,13479,4,32598.81788,4,32.12334114,4,9.524370144,8.248670078654579e-4,554158,2093711,10717,3522145,792150,1303523,6088620,1569333,31010,195101,110913,69435,16340816,12.812768958416765,554158,2093711,10717,3522145,792150,1303523,6088620,1569333,31010,195101,110913,69435,16340816,9298500,56.90352305539699,7042316,43.09647694460301,127514.95979038713,31.612175713162177
5,Canton,4.575798034,5,6.833353562,5,3.908241291,5,79.90047336,5,8239,5,134208.7611,5,2.173913043,5,75.16358068,0.005755111249883871,12173,130835,0,297685,8142,338353,294696,273053,5237,32484,38939,0,1431597,9.139094312156285,12173,130835,0,297685,8142,338353,294696,273053,5237,32484,38939,0,1431597,982762,68.64795050562414,448835,31.352049494375862,92263.69322737188,32.24994959757581
6,Cedonia/Frankford,1.184591405,6,2.979291917,6,82.59630372,6,9.712758851,6,22455,6,51097.82835,6,12.46473907,6,16.7202381,0.0033831237343418473,12700,1734930,0,1842236,7809,832205,1011056,856810,69904,169161,100546,0,6637357,26.13886822721755,12700,1734930,0,1842236,7809,832205,1011056,856810,69904,169161,100546,0,6637357,3039682,45.79657234046624,3597675,54.20342765953375,148483.3896365362,31.278586786980643
7,Cherry Hill,0.627001067,7,4.068836713,7,89.12753469,7,2.508004269,7,7496,7,24762.08057,7,38.00904977,7,11.48908858,0.002768331703454653,28395,516660,1691,979435,411,296942,515801,271793,8092,47904,32060,8584,2707768,19.080659790646763,28395,516660,1691,979435,411,296942,515801,271793,8092,47904,32060,8584,2707768,1172592,43.304743981020536,1535176,56.695256018979464,37303.95249059708,31.407170975431946
8,Chinquapin Park/Belvedere,2.077850118,8,3.670868541,8,67.41931015,8,22.35766727,8,7219,8,59616.52459,8,9.193054137,8,30.98921707,0.00370614895238017,0,597601,0,471615,2074,235392,194886,248532,47571,61415,88758,0,1947844,30.68012633455246,0,597601,0,471615,2074,235392,194886,248532,47571,61415,88758,0,1947844,876554,45.00124239928865,1071290,54.99875760071134,73203.89288317236,31.091328141727907
9,Orchard Ridge/Armistead,1.070167696,9,22.83759929,9,53.17740512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106170.60183392392,NA
10,Clifton-Berea,0.158374027,10,3.906559324,10,89.9036558,10,2.336016893,10,7577,10,39619.076,10,17.1848502,10,12.97814208,0.0035024577759000214,0,121510,831,515563,303,467736,533516,432785,14523,43005,33566,0,2163338,5.616782953010579,0,121510,831,515563,303,467736,533516,432785,14523,43005,33566,0,2163338,1525131,70.49896964783127,638207,29.501030352168733,115185.61035595469,32.73574925662463
11,Cross-Country/Cheswolde,1.801256338,11,3.647922501,11,22.90925604,11,66.82812382,11,13213,11,63371.33486,11,4.6923555,11,50.05828865,0.0037210609571910426,24,1342010,618,829714,166,398519,296725,310584,87479,148157,136873,0,3550869,37.79384708362939,24,1342010,618,829714,166,398519,296725,310584,87479,148157,136873,0,3550869,1378337,38.81689242830417,2172532,61.18310757169583,82408.89059269929,30.80860360407044
12,Dickeyville/Franklintown,1.334422658,12,3.839869281,12,79.30283224,12,11.32897603,12,3672,12,45807.76524,12,6.129032258,12,25.39325843,0.0011101698451022825,8190,2298150,0,520766,12675,108864,123379,100435,17244,37487,80412,0,3307602,69.48085047717349,8190,2298150,0,520766,12675,108864,123379,100435,17244,37487,80412,0,3307602,467821,14.143811740348447,2839781,85.85618825965156,31297.843282138856,29.09267662884548
13,Dorchester/Ashburton,0.565079973,13,2.777511733,13,90.93956518,13,2.327363279,13,10441,13,55345.78571,13,12.28528753,13,17.14024877,0.003293858142322055,0,651200,0,887110,7495,487836,425889,398780,74455,100697,136377,0,3169839,20.54363013389639,0,651200,0,887110,7495,487836,425889,398780,74455,100697,136377,0,3169839,1624034,51.233958570135584,1545805,48.76604142986442,96018.62738462997,31.33442645687677
14,Downtown/Seton Hill,15.11430991,14,6.646909399,14,37.82811177,14,34.20829805,14,9448,14,59158.50435,14,7.514450867,14,68.84278304,0.0049039708253183585,0,85744,0,88002,9,787066,428425,462894,5085,40975,28402,0,1926602,4.450530000487905,0,85744,0,88002,9,787066,428425,462894,5085,40975,28402,0,1926602,1752847,90.98127168974185,173755,9.018728310258165,158141.13620881797,32.74561253949028
15,Edmondson Village,0.084590441,15,2.001973777,15,93.68391372,15,1.325250247,15,7093,15,44911.29825,15,14.48423303,15,15.06581288,0.0032400274258066607,101,1097190,0,321037,2878,254952,157516,249171,17756,25500,63078,0,2189179,50.11878882448626,101,1097190,0,321037,2878,254952,157516,249171,17756,25500,63078,0,2189179,767973,35.08041142364329,1421206,64.91958857635672,46693.43380995886,30.178658378906473
16,Fells Point,7.407407407,16,13.11336717,16,6.551983456,16,67.3998872,16,10638,16,97869.61329,16,3.344262295,16,76.98168694,0.009072541957734815,20241,49212,0,40372,0,470566,311653,207408,9989,23088,40020,0,1172549,4.197010103628932,20241,49212,0,40372,0,470566,311653,207408,9989,23088,40020,0,1172549,1062724,90.63365368952599,109825,9.36634631047402,66243.83933815853,32.39425623262295
17,Forest Park/Walbrook,0.488011882,17,2.429450456,17,89.83662211,17,3.553999576,17,9426,17,48992.13428,17,15.89436971,17,20.46697799,0.002727243531042576,8435,1532237,194,708865,73,356173,181696,332444,96873,79982,159265,0,3456237,44.33252117837984,8435,1532237,194,708865,73,356173,181696,332444,96873,79982,159265,0,3456237,1206433,34.90596854324515,2249804,65.09403145675485,105341.15476781633,30.043626855101103
18,Glen-Fallstaff,1.262330137,18,11.7334621,18,57.03938746,18,25.74325723,18,14497,18,44228.12617,18,14.3334447,18,29.04114796,0.003322942976354775,0,892186,1292,979660,142,712278,891954,517718,74087,154695,138687,0,4362699,20.450322151493836,0,892186,1292,979660,142,712278,891954,517718,74087,154695,138687,0,4362699,2489419,57.06144292787562,1873280,42.93855707212439,155434.79252659203,31.45796434525625
19,Greater Charles Village/Barclay,15.95845137,19,9.01203966,19,30.3411237,19,38.64494806,19,16944,19,45797.71277,19,12.22812953,19,55.48738248,0.006741988815078754,0,414008,0,261551,6,673139,519921,429695,24889,80683,109313,0,2513205,16.473307987211548,0,414008,0,261551,6,673139,519921,429695,24889,80683,109313,0,2513205,1837640,73.1193834167925,675565,26.8806165832075,92471.92116379752,32.33134545663103
20,Greater Govans,0.302303763,20,2.189096216,20,86.49014907,20,6.900865214,20,9593,20,43781.9232,20,17.19330855,20,18.32541236,0.004548946340168054,0,519193,0,478997,48,351145,268837,314516,46001,63464,66639,0,2108840,24.61983839456763,0,519193,0,478997,48,351145,268837,314516,46001,63464,66639,0,2108840,1110602,52.66411866239259,998238,47.335881337607404,79107.25633520777,31.275101651634877
21,Greater Mondawmin,3.426719148,21,1.991201667,21,87.4739523,21,3.82032878,21,8638,21,40488.62406,21,10.53906723,21,18.63776088,0.0027618744936190403,112877,498210,0,687525,7442,558702,662781,404940,31500,75903,87706,0,3127586,15.929537988723572,112877,498210,0,687525,7442,558702,662781,404940,31500,75903,87706,0,3127586,1821532,58.240828549558664,1306054,41.75917145044133,115461.59170380331,31.820191027913584
22,Greater Roland Park/Poplar Hill,8.252093917,22,4.201565289,22,8.787587533,22,73.85692709,22,7283,22,125868.9492,22,0.161637931,22,82.42669753,0.0013828440752640847,13878,2531140,3403,979351,3769,389794,370623,305791,164346,193789,310798,0,5266682,48.05948033315852,13878,2531140,3403,979351,3769,389794,370623,305791,164346,193789,310798,0,5266682,1735141,32.94561927224769,3531541,67.05438072775232,116436.5128058458,30.178907135341813
