CSA2020,percent_filled,all_sites,total_trees,rich_tot,Evar,spave,AvgDBH_small,AvgDBH_med,AvgDBH_large,PercPoor,PercGood,PercDead,Perc2.97
Allendale/Irvington/S. Hilton,43.338345864661655,3325,1441,0.06176266481609993,0.298308553168784,0.5048353091707067,16.728672081218274,31.346986666666666,34.42985329619313,5.968077723802915,63.0117973629424,3905.5517002081883,90.9172932330827
Beechfield/Ten Hills/West Hills,56.42081617371771,2671,1507,0.06370272063702721,0.30392112670741567,0.3799369414329271,22.518309523809524,28.869758139534884,55.0482423263328,6.03848706038487,66.35700066357,4507.3656270736565,100.48670909771621
Belair-Edison,42.861567048621865,3229,1384,0.05708092485549133,0.3096400621209391,0.3269277174568579,18.380363636363636,24.45621568627451,35.68628364222401,11.054913294797688,64.30635838150289,2910.693641618497,95.26169092598327
Brooklyn/Curtis Bay/Hawkins Point,47.63693270735524,3195,1522,0.06373193166885677,0.2859546254787829,0.4256896749351894,20.261791666666667,31.72039263803681,41.5905001003009,15.045992115637318,53.15374507227333,4006.636005256242,88.92018779342723
Canton,66.18616144975287,2428,1607,0.038581207218419414,0.28351697170067924,0.342092829270099,15.276133891213389,24.357060606060607,22.70082341650672,6.347230864965775,58.68077162414437,1905.4760423148725,76.64744645799011
Cedonia/Frankford,40.52532833020638,2665,1080,0.06759259259259259,0.3435185263458489,0.4536892973515079,23.674294117647058,31.837870270270272,40.64688310308183,11.75925925925926,50.83333333333333,3105.0925925925926,94.14634146341463
Cherry Hill,59.92063492063492,756,453,0.09713024282560706,0.3488996583306023,0.46310768315694856,16.05038095238095,25.31649315068493,40.93633333333334,5.298013245033113,67.77041942604856,1302.869757174393,101.85185185185186
Chinquapin Park/Belvedere,52.28571428571429,1750,915,0.08087431693989071,0.3851351929105644,0.4478805077541876,17.649952,31.658621951219512,53.85427529411765,7.978142076502732,70.38251366120218,705.4644808743169,99.14285714285714
Clifton-Berea,52.76979893311449,2437,1286,0.042768273716951785,0.2873161017792313,0.36383601770088114,7.545347670250896,29.533530726256984,17.703067307692308,5.132192846034215,71.46189735614308,3403.188180404354,72.1378744357817
Cross-Country/Cheswolde,62.20703125,2048,1274,0.07692307692307693,0.33647248033391386,0.4177493744185946,21.38,37.756011428571426,55.45680801335559,16.16954474097331,47.95918367346938,1806.436420722135,100.78125
Dorchester/Ashburton,38.81352034950563,4349,1688,0.046800947867298576,0.2720363303633411,0.3721718038440264,26.16441904761905,38.66062151394422,54.01221158256881,17.77251184834123,54.91706161137441,3306.931279620853,98.96527937456887
Downtown/Seton Hill,59.41807044410413,3265,1940,0.034536082474226806,0.2707312864997087,0.4465365177757758,15.785743258426967,25.807504347826086,20.056833333333334,11.90721649484536,65.82474226804123,8703.762886597939,70.4134762633997
Edmondson Village,57.91245791245792,1188,688,0.09011627906976744,0.33898884686082775,0.3848980276542768,19.30908,30.61242735042735,46.99181861575179,6.25,60.75581395348837,906.1046511627908,99.74747474747475
Fells Point,76.4850471118394,2441,1867,0.04017139796464917,0.21893898499264208,0.32873181487354397,16.593494809688583,26.526836363636363,22.216764505119453,4.8205677557579,75.2544188537761,2503.588644884842,84.51454321999181
Forest Park/Walbrook,32.857142857142854,3080,1012,0.07509881422924901,0.3268589596651128,0.448946958908191,21.787555555555556,38.39983458646616,58.80639382239382,16.106719367588934,38.537549407114625,5009.090909090909,99.28571428571429
Glen-Fallstaff,47.76386404293381,2795,1335,0.06142322097378277,0.3205635362990348,0.4675216233307078,15.86992,41.221526315789475,52.10959773828756,17.078651685393258,53.78277153558052,1904.2696629213485,96.8515205724508
Greater Charles Village/Barclay,87.71460423634336,4485,3934,0.027707168276563294,0.2135604246712779,0.33743987473198905,14.325697318007663,28.33596632996633,22.07457705532979,6.049822064056939,57.39705134722929,8002.567361464159,97.19063545150502
Greater Govans,47.21283783783784,1184,559,0.11806797853309481,0.4113776291966448,0.44392905798338544,22.606,38.81966666666667,37.31123928571429,12.343470483005367,56.529516994633276,706.618962432916,95.77702702702703
Greater Lauraville,61.16694584031267,3582,2191,0.04198995892286627,0.2763069673573023,0.3837833803775919,19.341463126843657,26.559747252747254,39.588744066047475,7.0743952533089915,70.74395253308991,3204.792332268371,98.771635957565607
Greater Mondawmin,50.14935280451377,3013,1511,0.04897418927862343,0.3010168541687893,0.4292393794458499,19.765251533742333,37.674131736526945,37.546534178999295,9.133024487094639,57.57776307081402,3405.691594970219,94.0922668436774
Greater Roland Park/Poplar Hill,89.77838082315695,4422,3970,0.02871536523929471,0.236754971744218,0.3729362131082576,20.08105772230889,31.23696031746032,41.75385609500524,3.9798488664987404,78.0352644836272,10404.408060453401,102.23880597014924
Greater Rosemont,40.53333333333333,4125,1672,0.05562200956937799,0.2808654965195194,0.42152992106395354,18.187,38.460795454545455,38.75177358490566,7.775119617224881,63.27751196172249,3506.1602870813394,82.78787878787878
Greektown/Bayview,57.950974230044,3182,1844,0.04718004338394794,0.26365131373764894,0.42382111153826574,12.031945205479452,28.249638095238094,17.26921083455344,6.887201735357918,63.17787418655097,4404.175704989154,85.10370835952232
Hamilton,39.41798941798942,2268,894,0.09284116331096197,0.3470688537217813,0.41341403648061065,19.671195652173914,30.074763358778625,48.3631546343461,11.74496644295302,45.52572706935123,2105.0335570469797,96.51675485008818
Hamilton Hills,39.032025042138216,4153,1621,0.06292412091301666,0.2824415821247308,0.4030263280466571,17.852276422764227,26.146539130434782,43.0611876790831,10.857495373226403,59.901295496607034,5006.724244293646,98.5552612569227
