CSA2020,totsites,percent_filled,rich_totsites,rich_tottree,Evar,spave,AvgDBH_small,AvgDBH_med,AvgDBH_large,PercPoor,PercGood,PercDead,Perc2.97
Allendale/Irvington/S. Hilton,3392,42.511792452830186,0.02535377358490566,0.059639389736477116,0.3015031393575983,0.5068773508661489,12.304315625000001,29.71597609561753,34.96801407035176,5.9639389736477115,62.96809986130375,8.25242718446602,209.63938973647714
Beechfield/Ten Hills/West Hills,2717,55.465587044534416,0.03459698196540302,0.062375580623755804,0.3105157571680984,0.3819049746812378,14.421184210526317,28.79564055299539,51.124473988439306,6.03848706038487,66.35700066357,10.351692103516921,178.1021897810219
Belair-Edison,3313,41.77482644129188,0.022939933594929067,0.05491329479768786,0.3121084245508329,0.32727024769773627,17.17907317073171,23.08198319327731,34.77021875,11.054913294797688,64.30635838150289,12.789017341040463,222.25433526011562
Brooklyn/Curtis Bay/Hawkins Point,3255,46.75883256528418,0.028878648233486945,0.06176084099868594,0.29107168518305526,0.42956227184617424,20.35918085106383,31.527415789473686,41.86212395348837,15.045992115637318,53.15374507227333,9.264126149802891,186.6622864651774
Canton,2523,63.73365041617123,0.024177566389219182,0.03793532338308458,0.29257299492460065,0.353632791263807,13.044861788617887,23.672553398058252,22.81726854754441,6.343283582089552,58.64427860696517,6.654228855721393,115.73383084577114
Cedonia/Frankford,2736,39.473684210526315,0.02631578947368421,0.06666666666666667,0.3431406156950423,0.4569358465157282,21.95285714285714,31.343349753694582,39.27623218673219,11.75925925925926,50.83333333333333,7.962962962962964,232.3148148148148
Cherry Hill,784,57.78061224489795,0.05357142857142857,0.09271523178807947,0.3649893426282568,0.48766012385397567,16.44952380952381,25.31649315068493,41.532000000000004,5.298013245033113,67.77041942604856,5.739514348785872,169.97792494481237
Chinquapin Park/Belvedere,1767,51.782682512733444,0.04074702886247878,0.07868852459016394,0.3852521042764173,0.44734207089279904,16.05678431372549,31.47290909090909,50.16210423452769,7.978142076502732,70.38251366120218,6.229508196721312,189.61748633879782
Clifton-Berea,2628,48.93455098934551,0.02054794520547945,0.041990668740279936,0.2949012980889163,0.37194023947861293,7.3916853932584266,24.25205194805195,18.466150564617315,5.132192846034215,71.46189735614308,5.83203732503888,136.70295489891134
Cross-Country/Cheswolde,2069,61.57564040599324,0.04688255195746738,0.076138147566719,0.338738399404959,0.4223592337369568,19.86175257731959,38.14417391304348,52.07791277258567,16.16954474097331,47.95918367346938,7.849293563579278,162.00941915227628
Dorchester/Ashburton,4427,38.129658911226564,0.017393268579173254,0.04561611374407583,0.2757965373259713,0.3758524186899222,20.477238095238096,36.365197278911566,52.555985362095534,17.77251184834123,54.91706161137441,8.886255924170616,254.97630331753552
Downtown/Seton Hill,3489,55.63198624247635,0.018629979936944683,0.033487892838742914,0.28297812198481964,0.4612948694149616,13.40777652173913,23.79016551724138,20.681964642582628,11.901081916537867,65.7908294693457,8.24317362184441,118.44410097887688
Edmondson Village,1224,56.209150326797385,0.049019607843137254,0.0872093023255814,0.3614569697860728,0.3841667301625517,11.549673076923076,30.375411764705884,46.30604851752022,6.25,60.75581395348837,7.412790697674419,172.23837209302326
Fells Point,2552,73.15830721003135,0.02860501567398119,0.039100160685591856,0.22506436839081978,0.33996923240900734,16.322386363636365,25.699381333333335,22.517679668049794,4.8205677557579,75.2544188537761,4.927691483663631,110.49812533476164
Forest Park/Walbrook,3149,32.13718640838361,0.0231819625277866,0.07213438735177866,0.3313997981854886,0.45864441446300136,18.86252380952381,37.03570422535211,54.341284634760704,16.106719367588934,38.537549407114625,14.031620553359684,302.17391304347825
Glen-Fallstaff,2825,47.256637168141594,0.027964601769911505,0.05917602996254682,0.329968951294651,0.4709470785973707,17.082093457943927,38.777817142857145,50.937617806731815,17.078651685393258,53.78277153558052,5.692883895131086,202.77153558052436
Greater Charles Village/Barclay,4690,83.90191897654584,0.022601279317697228,0.026937738246505718,0.2182602398329434,0.34043939894107134,12.302883248730964,25.126830188679246,21.492337240075614,6.048284625158831,57.38246505717917,4.599745870393901,110.77509529860228
Greater Govans,1199,46.622185154295245,0.05337781484570475,0.11449016100178891,0.40736737976619664,0.4430301750761686,22.981478260869565,34.33417391304348,36.69666494117647,12.343470483005367,56.529516994633276,7.8711985688729875,202.86225402504473
Greater Lauraville,3631,60.341503717984025,0.024786560176259985,0.041077133728890915,0.27729221555914785,0.3812142613429327,18.52965991902834,26.395200992555832,36.98142307692308,7.0743952533089915,70.74395253308991,6.252852578731173,161.47877681424006
Greater Mondawmin,3101,48.72621734924218,0.023218316672041276,0.04765056254136334,0.3065868054869113,0.4262463304821175,14.976928571428571,32.495066666666666,38.70534801762115,9.133024487094639,57.57776307081402,7.941760423560557,187.62409000661813
Greater Roland Park/Poplar Hill,4529,87.65731949657761,0.024287922278648708,0.027707808564231738,0.24120676030647303,0.37936298310811967,15.455387173396675,29.438081632653063,41.82209825327511,3.9798488664987404,78.0352644836272,7.027707808564232,113.87909319899245
Greater Rosemont,4310,38.83990719257541,0.02088167053364269,0.053763440860215055,0.2864749951092952,0.4238609313145685,14.743480225988701,34.14362711864407,40.55054563492064,7.765830346475508,63.20191158900836,8.24372759856631,204.00238948626045
