CSA2020,totsites,percent_filled,rich_totsites,rich_tottree,Evar,spave,AvgDBH_smallmed,AvgDBH_large,PercPoor,PercGood,PercDead,Perc2.97
Allendale/Irvington/S. Hilton,3392,42.511792452830186,0.02535377358490566,0.059639389736477116,0.3015031393575983,0.5068773508661489,24.508925070422535,34.96801407035173,5.9639389736477115,62.96809986130375,8.25242718446602,209.63938973647714
Beechfield/Ten Hills/West Hills,2717,55.465587044534416,0.03459698196540302,0.062375580623755804,0.3105157571680984,0.3819049746812378,22.885607629427792,51.124473988439306,6.03848706038487,66.35700066357,10.351692103516921,178.1021897810219
Belair-Edison,3313,41.77482644129188,0.022939933594929067,0.05491329479768786,0.312108424550833,0.32727024769773627,22.380413559322033,34.77021875,11.054913294797688,64.30635838150289,12.789017341040463,222.25433526011562
Brooklyn/Curtis Bay/Hawkins Point,3255,46.75883256528418,0.028878648233486945,0.06176084099868594,0.29107168518305526,0.42956227184617424,27.60182273603083,41.86212395348837,15.045992115637318,53.15374507227333,9.264126149802891,186.6622864651774
Canton,2523,63.73365041617123,0.024177566389219182,0.03793532338308458,0.29257299492460076,0.353632791263807,21.668642307692306,22.817268547544412,6.343283582089552,58.64427860696517,6.654228855721393,115.73383084577114
Cedonia/Frankford,2736,39.473684210526315,0.02631578947368421,0.06666666666666667,0.3431406156950423,0.4569358465157282,29.812155172413796,39.27623218673219,11.75925925925926,50.83333333333333,7.962962962962964,232.3148148148148
Cherry Hill,784,57.78061224489795,0.05357142857142857,0.09271523178807947,0.36498934262825655,0.48766012385397567,20.572382165605095,41.532000000000004,5.298013245033113,67.77041942604856,5.739514348785872,169.97792494481237
Chinquapin Park/Belvedere,1767,51.782682512733444,0.04074702886247878,0.07868852459016394,0.3852521042764172,0.44734207089279904,25.67596240601504,50.16210423452769,7.978142076502732,70.38251366120218,6.229508196721312,189.61748633879782
Clifton-Berea,2628,48.93455098934551,0.02054794520547945,0.041990668740279936,0.2949012980889163,0.37194023947861293,17.673830687830687,18.466150564617315,5.132192846034215,71.46189735614308,5.83203732503888,136.70295489891134
Cross-Country/Cheswolde,2069,61.57564040599324,0.04688255195746738,0.076138147566719,0.33873839940495887,0.4223592337369568,31.349532846715327,52.07791277258567,16.16954474097331,47.95918367346938,7.849293563579278,162.00941915227628
Dorchester/Ashburton,4427,38.129658911226564,0.017393268579173254,0.04561611374407583,0.2757965373259713,0.3758524186899222,35.52972185430463,52.555985362095534,17.77251184834123,54.91706161137441,8.886255924170616,254.97630331753552
Downtown/Seton Hill,3489,55.63198624247635,0.018629979936944683,0.033487892838742914,0.28297812198481964,0.4612948694149616,19.566104068522485,20.68196464258263,11.901081916537867,65.7908294693457,8.24317362184441,118.44410097887688
Edmondson Village,1224,56.209150326797385,0.049019607843137254,0.0872093023255814,0.361456969786073,0.3841667301625517,21.595695067264575,46.30604851752022,6.25,60.75581395348837,7.412790697674419,172.23837209302326
Fells Point,2552,73.15830721003135,0.02860501567398119,0.039100160685591856,0.22506436839081978,0.33996923240900734,22.932856581532416,22.517679668049794,4.8205677557579,75.2544188537761,4.927691483663631,110.49812533476164
