CSA2020,totsites,percent_filled,rare_rich,Evar,spave,AvgDBH_smallmed,AvgDBH_large,PercPoor,PercGood,PercDead,Perc2.97
Allendale/Irvington/S. Hilton,3392,42.511792452830186,66.06319186598046,0.3015031393575983,0.5068773508661489,23.835520844327178,34.96801407035176,5.9639389736477115,62.96809986130375,8.25242718446602,89.12146226415094
Beechfield/Ten Hills/West Hills,2717,55.465587044534416,68.99927364465394,0.3105157571680984,0.3819049746812378,22.874455284552845,51.124473988439306,6.03848706038487,66.35700066357,10.351692103516921,98.78542510121457
Belair-Edison,3313,41.77482644129188,60.30363797338333,0.3121084245508329,0.32727024769773627,21.5693625,34.77021875,11.054913294797688,64.30635838150289,12.789017341040463,92.84636281316028
Brooklyn/Curtis Bay/Hawkins Point,3255,46.75883256528418,69.5880248175129,0.29107168518305526,0.42956227184617424,27.830887323943664,41.86212395348837,15.045992115637318,53.15374507227333,9.264126149802891,87.28110599078342
Canton,2523,63.73365041617123,49.362749803043094,0.29257299492460065,0.353632791263807,21.22917757009346,22.81726854754441,6.343283582089552,58.64427860696517,6.654228855721393,73.76139516448671
Cedonia/Frankford,2736,39.473684210526315,60.26588792750332,0.3431406156950423,0.4569358465157282,29.733551020408164,39.27623218673219,11.75925925925926,50.83333333333333,7.962962962962964,91.703216374269
Cherry Hill,784,57.78061224489795,42,0.3649893426282568,0.48766012385397567,20.572382165605095,41.532000000000004,5.298013245033113,67.77041942604856,5.739514348785872,98.21428571428571
Chinquapin Park/Belvedere,1767,51.782682512733444,63.47661625514254,0.3852521042764173,0.44734207089279904,25.81663309352518,50.16210423452769,7.978142076502732,70.38251366120218,6.229508196721312,98.1890209394454
Clifton-Berea,2628,48.93455098934551,45.003546071576274,0.2949012980889163,0.37194023947861293,16.91428850855746,18.466150564617315,5.132192846034215,71.46189735614308,5.83203732503888,66.89497716894978
Cross-Country/Cheswolde,2069,61.57564040599324,72.66546757764827,0.338738399404959,0.4223592337369568,31.833160142348756,52.07791277258567,16.16954474097331,47.95918367346938,7.849293563579278,99.75833736104398
Dorchester/Ashburton,4427,38.129658911226564,56.66107313009813,0.2757965373259713,0.3758524186899222,34.37920238095238,52.555985362095534,17.77251184834123,54.91706161137441,8.886255924170616,97.22159475943076
Downtown/Seton Hill,3489,55.63198624247635,49.68193724333612,0.28297812198481964,0.4612948694149616,19.197955,20.681964642582628,11.901081916537867,65.7908294693457,8.24317362184441,65.89280596159358
Edmondson Village,1224,56.209150326797385,55.94440670305164,0.3614569697860728,0.3841667301625517,21.595695067264575,46.30604851752022,6.25,60.75581395348837,7.412790697674419,96.81372549019608
Fells Point,2552,73.15830721003135,48.406001590060725,0.22506436839081978,0.33996923240900734,22.704188747731397,22.517679668049794,4.8205677557579,75.2544188537761,4.927691483663631,80.8385579937304
Forest Park/Walbrook,3149,32.13718640838361,59.82354133940615,0.3313997981854886,0.45864441446300136,32.887478260869564,54.341284634760704,16.106719367588934,38.537549407114625,14.031620553359684,97.11019371228961
Glen-Fallstaff,2825,47.256637168141594,63.05528994778656,0.329968951294651,0.4709470785973707,30.545751773049645,50.937617806731815,17.078651685393258,53.78277153558052,5.692883895131086,95.82300884955752
Greater Charles Village/Barclay,4690,83.90191897654584,61.54967244728615,0.2182602398329434,0.34043939894107134,20.877347350714885,21.492337240075614,6.048284625158831,57.38246505717917,4.599745870393901,92.94243070362474
Greater Govans,1199,46.622185154295245,61.17562722790312,0.40736737976619664,0.4430301750761686,32.063634782608695,36.69666494117647,12.343470483005367,56.529516994633276,7.8711985688729875,94.57881567973311
Greater Lauraville,3631,60.341503717984025,63.251203349370805,0.27729221555914785,0.3812142613429327,23.406295384615383,36.98142307692308,7.0743952533089915,70.74395253308991,6.252852578731173,97.4387221151198
Greater Mondawmin,3101,48.72621734924218,56.76337757871775,0.3065868054869113,0.4262463304821175,26.673014836795254,38.70534801762115,9.133024487094639,57.57776307081402,7.941760423560557,91.42212189616254
Greater Roland Park/Poplar Hill,4529,87.65731949657761,71.59296792304986,0.24120676030647303,0.37936298310811967,23.603875123885036,41.82209825327511,3.9798488664987404,78.0352644836272,7.027707808564232,99.82336056524619
Greater Rosemont,4310,38.83990719257541,65.90442333714155,0.2864749951092952,0.4238609313145685,28.323583050847457,40.55054563492064,7.765830346475508,63.20191158900836,8.24372759856631,79.23433874709977
Greektown/Bayview,3275,56.36641221374046,61.491202832579134,0.2738511676824188,0.4365185789531552,17.300024518388792,17.001255136986302,6.8797399783315285,63.109425785482124,6.554712892741062,82.68702290076337
Hamilton,2308,38.73483535528596,67.71843400384381,0.36525867686502755,0.416140353160964,24.847574144486693,46.94859592020906,11.74496644295302,45.52572706935123,7.38255033557047,94.84402079722703
Hamilton Hills,4216,38.44876660341556,67.48083590188871,0.2860124286013783,0.40920396265664927,21.51960739030023,40.63046648793566,10.857495373226403,59.901295496607034,9.808760024676126,97.08254269449715
Hampden/Remington,3929,65.38559429880377,74.62858822972336,0.2690041606834308,0.429287605821258,22.496543720930234,33.49095618661258,8.71934604904632,70.33865317244063,3.3086804203970415,82.48918299821838
Harbor East/Little Italy,2164,58.45656192236599,40.19086555414124,0.22669081734172114,0.3672847479961894,15.944543448275862,19.308154852780806,5.138339920948617,71.7786561264822,5.533596837944664,65.75785582255084
Highlandtown,2443,67.00777732296356,50.52107811351583,0.2745506164413174,0.4090270378767697,17.234250530785562,16.729860215053762,5.253512522907758,68.78436163714112,5.00916310323763,76.2996316004912
Howard Park/West Arlington,5071,28.43620587655295,67.16938356937747,0.3249401288467537,0.41869850069251224,38.32660639534884,54.630817820136855,20.87378640776699,47.503467406380025,9.70873786407767,99.03372115953461
Inner Harbor/Federal Hill,4008,67.58982035928143,53.37942363408468,0.2306977662884091,0.38408578944082794,22.711681055155875,22.24509493670886,5.426356589147287,74.64008859357698,7.3827980804725,76.79640718562875
Loch Raven,3436,43.684516880093135,66.98687057556758,0.30756587151233217,0.3468672353777075,25.90178321678322,47.2565616093881,10.126582278481013,63.1578947368421,11.05929380413058,99.44703143189756
Madison/East End,1999,77.88894447223612,39.90020156205215,0.2571736861297389,0.32263543439652015,10.916845018450184,10.724565310492505,4.303147077713552,75.78676942838793,3.7893384714193963,86.3431715857929
Midtown,4313,82.56434036633435,52.84043652622439,0.20758316188257397,0.3195397466459175,19.323287383177572,20.430796722590713,6.149957877000842,78.82617242347655,4.549283909014322,88.82448411778344
Midway/Coldstream,2838,38.231148696264974,59.23266959885259,0.34178020474042625,0.4690553455389073,22.292193905817175,30.184048048048048,14.009216589861751,45.622119815668206,8.202764976958525,73.04439746300211
Morrell Park/Violetville,1917,40.16692749087115,67.87781026791217,0.3928787879988148,0.5015944581500106,21.005235555555554,44.03661752988048,13.766233766233766,62.5974025974026,11.818181818181818,93.32290036515388
Mount Washington/Coldspring,1842,66.66666666666666,78.13060617797377,0.3441171503408136,0.4580593753513042,24.57324476744186,41.62753448275862,11.319218241042345,59.60912052117264,5.618892508143322,99.8371335504886
North Baltimore/Guilford/Homeland,6569,82.78276754452733,78.557494476303,0.22303644253446586,0.43428368845459137,25.11028125,43.858274074074075,5.921294593600589,68.15005516734094,4.376609047443914,98.31024509057696
Northwood,3472,49.79838709677419,61.87832321056602,0.272595878634891,0.4267893541633947,25.878530386740334,39.41524617737003,8.733371891266628,64.31463273568536,8.270676691729323,99.13594470046083
Oldtown/Middle East,3972,58.333333333333336,44.24042784548574,0.21788313233202727,0.3925415137751748,18.4094734870317,21.53889300254453,9.106603366422098,63.659905049633146,7.639188605955978,72.63343403826788
Oliver/Johnson Square,2904,46.31542699724518,42.04803525173482,0.23418529474179461,0.3824756097516204,23.897658914728684,20.895936127744513,12.267657992565056,60.89219330855019,8.996282527881041,61.22589531680441
Orchard Ridge/Armistead,1713,57.734967892586106,56.283827729176956,0.3047290760662128,0.4449993773055608,16.24474683544304,19.627908256880733,10.920121334681497,50.15166835187057,4.853387259858443,95.6217162872154
Patterson Park North & East,3588,78.87402452619844,49.25456491127143,0.22367085720708846,0.32368518368663823,14.512091013824884,14.638436835891381,3.92226148409894,76.78445229681978,3.4275618374558303,86.92865105908584
Penn North/Reservoir Hill,2383,74.27612253462023,51.27083254997293,0.25326098514380735,0.32379999069065296,18.380829596412557,24.153162899454404,8.305084745762711,71.2994350282486,5.310734463276836,85.94208980276962
Pigtown/Carroll Park,2745,67.35883424408014,54.11432387530052,0.29239450468121,0.34631369955788627,19.989278592375367,21.235930745658834,3.461330448891293,81.77393185505679,7.842076798269335,83.57012750455374
Pimlico/Arlington/Hilltop,2796,32.83261802575107,60.224862065345775,0.33733789718043716,0.45420402109963715,26.108526315789476,43.99056514382403,21.67755991285403,44.55337690631808,7.952069716775599,88.01859799713877
Poppleton/The Terraces/Hollins Market,2181,72.07702888583218,58.3543710096956,0.2700858159294456,0.3840499574965889,20.324736596736596,18.36935395814377,5.852417302798982,69.46564885496184,3.1806615776081424,78.35855112333792
Sandtown-Winchester/Harlem Park,4324,48.149861239592965,46.384151767017435,0.22224683918177102,0.32232596127032437,16.728238267148015,23.72374033149171,14.169068203650337,31.316042267050914,8.069164265129682,66.3968547641073
South Baltimore,2177,67.7537896187414,53.84868359995214,0.29028490268825113,0.4526671208285886,19.870320241691843,18.29299438202247,4.88135593220339,71.38983050847457,3.728813559322034,74.68994028479558
