CSA2020,totsites,percent_filled,rare_rich,Evar,spave,AvgDBH_smallmed,AvgDBH_large,PercPoor,PercGood,PercDead,pct_9m2
Allendale/Irvington/S. Hilton,3392,42.511792452830186,66.06319186598049,0.3015031393575983,0.5068773508661489,24.508925070422535,34.96801407035173,5.9639389736477115,62.96809986130375,8.25242718446602,96.04715672676838
Beechfield/Ten Hills/West Hills,2717,55.465587044534416,68.99927364465395,0.3105157571680984,0.3819049746812378,22.885607629427792,51.124473988439306,6.03848706038487,66.35700066357,10.351692103516921,99.00464499004646
Belair-Edison,3313,41.77482644129188,60.30363797338333,0.312108424550833,0.32727024769773627,22.380413559322033,34.77021875,11.054913294797688,64.30635838150289,12.789017341040463,88.0057803468208
Brooklyn/Curtis Bay/Hawkins Point,3255,46.75883256528418,69.58802481751289,0.29107168518305526,0.42956227184617424,27.60182273603083,41.86212395348837,15.045992115637318,53.15374507227333,9.264126149802891,95.40078843626807
Canton,2523,63.73365041617123,49.362749803043116,0.29257299492460076,0.353632791263807,21.668642307692306,22.817268547544412,6.343283582089552,58.64427860696517,6.654228855721393,45.8955223880597
Cedonia/Frankford,2736,39.473684210526315,60.26588792750334,0.3431406156950423,0.4569358465157282,29.812155172413796,39.27623218673219,11.75925925925926,50.83333333333333,7.962962962962964,95.92592592592592
Cherry Hill,784,57.78061224489795,42,0.36498934262825655,0.48766012385397567,20.572382165605095,41.532000000000004,5.298013245033113,67.77041942604856,5.739514348785872,96.68874172185431
Chinquapin Park/Belvedere,1767,51.782682512733444,63.47661625514253,0.3852521042764172,0.44734207089279904,25.67596240601504,50.16210423452769,7.978142076502732,70.38251366120218,6.229508196721312,97.59562841530055
Clifton-Berea,2628,48.93455098934551,45.003546071576274,0.2949012980889163,0.37194023947861293,17.673830687830687,18.466150564617315,5.132192846034215,71.46189735614308,5.83203732503888,69.98444790046656
Cross-Country/Cheswolde,2069,61.57564040599324,72.66546757764829,0.33873839940495887,0.4223592337369568,31.349532846715327,52.07791277258567,16.16954474097331,47.95918367346938,7.849293563579278,99.68602825745683
Dorchester/Ashburton,4427,38.129658911226564,56.66107313009816,0.2757965373259713,0.3758524186899222,35.52972185430463,52.555985362095534,17.77251184834123,54.91706161137441,8.886255924170616,97.1563981042654
Downtown/Seton Hill,3489,55.63198624247635,49.68193724333613,0.28297812198481964,0.4612948694149616,19.566104068522485,20.68196464258263,11.901081916537867,65.7908294693457,8.24317362184441,45.543534260690365
Edmondson Village,1224,56.209150326797385,55.94440670305162,0.361456969786073,0.3841667301625517,21.595695067264575,46.30604851752022,6.25,60.75581395348837,7.412790697674419,96.65697674418605
Fells Point,2552,73.15830721003135,48.40600159006076,0.22506436839081978,0.33996923240900734,22.932856581532416,22.517679668049794,4.8205677557579,75.2544188537761,4.927691483663631,26.780931976432782
Forest Park/Walbrook,3149,32.13718640838361,59.82354133940618,0.3313997981854886,0.45864441446300136,33.46308888888889,54.341284634760704,16.106719367588934,38.537549407114625,14.031620553359684,98.91304347826086
Glen-Fallstaff,2825,47.256637168141594,63.05528994778659,0.329968951294651,0.4709470785973707,30.83820512820513,50.937617806731815,17.078651685393258,53.78277153558052,5.692883895131086,98.72659176029963
Greater Charles Village/Barclay,4690,83.90191897654584,61.54967244728618,0.2182602398329434,0.34043939894107134,21.846769078295345,21.492337240075614,6.048284625158831,57.38246505717917,4.599745870393901,67.34434561626429
Greater Govans,1199,46.622185154295245,61.17562722790309,0.4073673797661965,0.4430301750761686,34.98320833333334,36.69666494117647,12.343470483005367,56.529516994633276,7.8711985688729875,97.49552772808586
Greater Lauraville,3631,60.341503717984025,63.251203349370805,0.27729221555914785,0.3812142613429327,23.1775,36.98142307692308,7.0743952533089915,70.74395253308991,6.252852578731173,97.07895937927887
Greater Mondawmin,3101,48.72621734924218,56.76337757871776,0.3065868054869112,0.4262463304821175,28.475931271477663,38.70534801762114,9.133024487094639,57.57776307081402,7.941760423560557,91.85969556585043
Greater Roland Park/Poplar Hill,4529,87.65731949657761,71.59296792304984,0.24120676030647303,0.37936298310811967,24.107855042016805,41.822098253275115,3.9798488664987404,78.0352644836272,7.027707808564232,99.7984886649874
Greater Rosemont,4310,38.83990719257541,65.90442333714154,0.2864749951092951,0.4238609313145685,30.419728813559324,40.55054563492064,7.765830346475508,63.20191158900836,8.24372759856631,83.69175627240143
Greektown/Bayview,3275,56.36641221374046,61.491202832579184,0.2738511676824188,0.4365185789531552,17.505418047882138,17.001255136986302,6.8797399783315285,63.109425785482124,6.554712892741062,92.41603466955578
Hamilton,2308,38.73483535528596,67.71843400384383,0.36525867686502744,0.416140353160964,24.783561538461537,46.94859592020906,11.74496644295302,45.52572706935123,7.38255033557047,92.72930648769575
Hamilton Hills,4216,38.44876660341556,67.48083590188877,0.28601242860137843,0.40920396265664927,21.707039215686272,40.63046648793566,10.857495373226403,59.901295496607034,9.808760024676126,94.4478716841456
Hampden/Remington,3929,65.38559429880377,74.6285882297233,0.2690041606834309,0.429287605821258,22.615129095354522,33.49095618661258,8.71934604904632,70.33865317244063,3.3086804203970415,81.86064616582328
Harbor East/Little Italy,2164,58.45656192236599,40.19086555414125,0.22669081734172092,0.3672847479961894,16.358967692307694,19.308154852780806,5.138339920948617,71.7786561264822,5.533596837944664,55.88932806324111
Highlandtown,2443,67.00777732296356,50.52107811351581,0.2745506164413174,0.4090270378767697,17.167183406113537,16.729860215053765,5.253512522907758,68.78436163714112,5.00916310323763,48.07574832009774
Howard Park/West Arlington,5071,28.43620587655295,67.16938356937746,0.3249401288467536,0.41869850069251224,38.487688165680474,54.630817820136855,20.87378640776699,47.503467406380025,9.70873786407767,98.40499306518724
Inner Harbor/Federal Hill,4008,67.58982035928143,53.379423634084645,0.230697766288409,0.38408578944082794,22.7539074829932,22.24509493670886,5.426356589147287,74.64008859357698,7.3827980804725,25.87670727205611
Loch Raven,3436,43.684516880093135,66.98687057556756,0.30756587151233195,0.3468672353777075,26.967924812030073,47.2565616093881,10.126582278481013,63.1578947368421,11.05929380413058,99.400399733511
Madison/East End,1999,77.88894447223612,39.90020156205215,0.2571736861297389,0.32263543439652015,11.518101419878295,10.724565310492505,4.303147077713552,75.78676942838793,3.7893384714193963,64.73988439306359
Midtown,4313,82.56434036633435,52.84043652622436,0.20758316188257397,0.3195397466459175,20.862619799139168,20.430796722590713,6.149957877000842,78.82617242347655,4.549283909014322,53.13114293737714
Midway/Coldstream,2838,38.231148696264974,59.232669598852596,0.3417802047404265,0.4690553455389073,22.950766570605186,30.184048048048048,14.009216589861751,45.622119815668206,8.202764976958525,78.89400921658986
Morrell Park/Violetville,1917,40.16692749087115,67.87781026791218,0.3928787879988149,0.5015944581500106,21.463,44.03661752988048,13.766233766233766,62.5974025974026,11.818181818181818,97.40259740259741
Mount Washington/Coldspring,1842,66.66666666666666,78.13060617797389,0.34411715034081347,0.4580593753513042,24.580461224489795,41.62753448275862,11.319218241042345,59.60912052117264,5.618892508143322,98.69706840390879
North Baltimore/Guilford/Homeland,6569,82.78276754452733,78.55749447630309,0.22303644253446597,0.43428368845459137,25.550197583511018,43.858274074074075,5.921294593600589,68.15005516734094,4.376609047443914,98.65759470393527
Northwood,3472,49.79838709677419,61.87832321056607,0.2725958786348909,0.4267893541633947,26.935510574018124,39.41524617737003,8.733371891266628,64.31463273568536,8.270676691729323,99.07460960092538
Oldtown/Middle East,3972,58.333333333333336,44.240427845485755,0.21788313233202727,0.3925415137751748,19.78894332784185,21.53889300254453,9.106603366422098,63.659905049633146,7.639188605955978,67.58739749676306
Oliver/Johnson Square,2904,46.31542699724518,42.04803525173482,0.23418529474179461,0.3824756097516204,25.117907834101384,20.89593612774451,12.267657992565056,60.89219330855019,8.996282527881041,68.55018587360595
Orchard Ridge/Armistead,1713,57.734967892586106,56.28382772917698,0.3047290760662128,0.4449993773055608,16.052615942028986,19.627908256880733,10.920121334681497,50.15166835187057,4.853387259858443,100
Patterson Park North & East,3588,78.87402452619844,49.25456491127142,0.22367085720708868,0.32368518368663823,14.798213675213676,14.638436835891383,3.92226148409894,76.78445229681978,3.4275618374558303,56.28975265017668
Penn North/Reservoir Hill,2383,74.27612253462023,51.27083254997292,0.25326098514380735,0.32379999069065296,19.773034090909093,24.1531628994544,8.305084745762711,71.2994350282486,5.310734463276836,70.73446327683615
Pigtown/Carroll Park,2745,67.35883424408014,54.11432387530055,0.29239450468121,0.34631369955788627,20.538548440065682,21.235930745658838,3.461330448891293,81.77393185505679,7.842076798269335,58.139534883720934
Pimlico/Arlington/Hilltop,2796,32.83261802575107,60.22486206534575,0.3373378971804373,0.45420402109963715,26.187977272727274,43.99056514382403,21.67755991285403,44.55337690631808,7.952069716775599,91.28540305010894
Poppleton/The Terraces/Hollins Market,2181,72.07702888583218,58.35437100969561,0.2700858159294456,0.3840499574965889,21.1074,18.36935395814376,5.852417302798982,69.46564885496184,3.1806615776081424,63.48600508905853
