SPP,Genus,Species,Family
Abies concolor,Abies,concolor,Pinaceae
Abies fraseri,Abies,fraseri,Pinaceae
Acer buergerianum,Acer,buergerianum,Aceraceae
Acer campestre,Acer,campestre,Aceraceae
Acer griseum,Acer,griseum,Aceraceae
Acer miyabei,Acer,miyabei,Aceraceae
Acer negundo,Acer,negundo,Aceraceae
Acer nigrum,Acer,nigrum,Aceraceae
Acer palmatum,Acer,palmatum,Aceraceae
Acer platanoides,Acer,platanoides,Aceraceae
Acer pseudoplatanus,Acer,pseudoplatanus,Aceraceae
Acer rubrum,Acer,rubrum,Aceraceae
Acer saccharinum,Acer,saccharinum,Aceraceae
Acer saccharum,Acer,saccharum,Aceraceae
Acer tataricum,Acer,tataricum,Aceraceae
Acer tataricum ginnala,Acer,tataricum ginnala,Aceraceae
Acer truncatum,Acer,truncatum,Aceraceae
Acer x freemanii,Acer,x freemanii,Aceraceae
Aesculus flava,Aesculus,flava,Sapindaceae
Aesculus glabra,Aesculus,glabra,Sapindaceae
Aesculus hippocastanum,Aesculus,hippocastanum,Sapindaceae
Aesculus parviflora,Aesculus,parviflora,Sapindaceae
Aesculus pavia,Aesculus,pavia,Sapindaceae
Aesculus x carnea,Aesculus,x carnea,Sapindaceae
Ailanthus altissima,Ailanthus,altissima,Simaroubaceae
Albizia julibrissin,Albizia,julibrissin,Fabaceae
Amelanchier arborea,Amelanchier,arborea,Rosaceae
Amelanchier canadensis,Amelanchier,canadensis,Rosaceae
Amelanchier laevis,Amelanchier,laevis,Rosaceae
Amelanchier spp.,Amelanchier,spp.,Rosaceae
Asimina triloba,Asimina,triloba,Annonaceae
Betula nigra,Betula,nigra,Betulaceae
Betula papyrifera,Betula,papyrifera,Betulaceae
Betula pendula,Betula,pendula,Betulaceae
Betula platyphylla,Betula,platyphylla,Betulaceae
Betula populifolia,Betula,populifolia,Betulaceae
Broussonetia papyrifera,Broussonetia,papyrifera,Moraceae
Carpinus betulus,Carpinus,betulus,Betulaceae
Carpinus caroliniana,Carpinus,caroliniana,Betulaceae
Carya cordiformis,Carya,cordiformis,Juglandaceae
