CSA2020,spave,rave
Allendale/Irvington/S. Hilton,0.5068773508661489,0.31563617710377545
Beechfield/Ten Hills/West Hills,0.3819049746812378,0.335906090958606
Belair-Edison,0.32727024769773627,0.31284450082059456
Brooklyn/Curtis Bay/Hawkins Point,0.42956227184617424,0.3263557981350516
Canton,0.353632791263807,0.3133583482585509
Cedonia/Frankford,0.45693584651572827,0.3236263726601493
Cherry Hill,0.48766012385397567,0.3209109690796218
Chinquapin Park/Belvedere,0.44734207089279904,0.3235218016314116
Clifton-Berea,0.37194023947861293,0.293455540250343
Cross-Country/Cheswolde,0.42235923373695683,0.3192659204887236
Dorchester/Ashburton,0.3758524186899222,0.303925468548618
Downtown/Seton Hill,0.46129486941496156,0.3082784317886689
Edmondson Village,0.38416673016255165,0.3261787042813623
Fells Point,0.33996923240900734,0.33004693008205727
Forest Park/Walbrook,0.45864441446300136,0.3048613209921221
Glen-Fallstaff,0.4709470785973707,0.3157117198040555
Greater Charles Village/Barclay,0.34043939894107134,0.3111349046921225
Greater Govans,0.4430301750761686,0.3226749899854182
Greater Lauraville,0.3812142613429327,0.31889000565987674
Greater Mondawmin,0.4262463304821175,0.31366786506556854
Greater Roland Park/Poplar Hill,0.37936298310811967,0.31117077346364175
Greater Rosemont,0.4238609313145685,0.3149753929603946
Greektown/Bayview,0.43651857895315516,0.3225765127433175
Hamilton,0.416140353160964,0.32179927342361997
Hamilton Hills,0.40920396265664927,0.32428914800924213
Hampden/Remington,0.42928760582125797,0.3261134065067142
Harbor East/Little Italy,0.3672847479961894,0.32211159265177763
Highlandtown,0.4090270378767697,0.2813075241694773
Howard Park/West Arlington,0.41869850069251224,0.3252165347974637
Inner Harbor/Federal Hill,0.38408578944082794,0.31815875356187956
Loch Raven,0.3468672353777075,0.31638432175687886
Madison/East End,0.32263543439652015,0.3106606927320599
Midtown,0.3195397466459175,0.31594240234307996
Midway/Coldstream,0.4690553455389073,0.31240364721821395
Morrell Park/Violetville,0.5015944581500106,0.32289934007577153
Mount Washington/Coldspring,0.4580593753513042,0.32115288050997143
North Baltimore/Guilford/Homeland,0.43428368845459137,0.3091973967140731
Northwood,0.4267893541633947,0.3134851292849988
Oldtown/Middle East,0.39254151377517477,0.30136315242495193
Oliver/Johnson Square,0.38247560975162037,0.31979086473583146
Orchard Ridge/Armistead,0.44499937730556083,0.3192599903506333
Patterson Park North & East,0.32368518368663823,0.2928979933656151
Penn North/Reservoir Hill,0.32379999069065296,0.3108951286322961
Pigtown/Carroll Park,0.34631369955788627,0.3225399082818445
Pimlico/Arlington/Hilltop,0.45420402109963715,0.31371774471883046
Poppleton/The Terraces/Hollins Market,0.3840499574965889,0.31639380058787747
Sandtown-Winchester/Harlem Park,0.32232596127032437,0.32490059710934655
South Baltimore,0.4526671208285886,0.31791473830101996
Southeastern,0.525378057726915,0.3095037031226094
Southern Park Heights,0.4599659853940582,0.31113439399034704
Southwest Baltimore,0.34521088836556074,0.3274313988365041
The Waverlies,0.3972130020359012,0.3178489700799178
Upton/Druid Heights,0.3931984542796564,0.3262434872506246
Westport/Mount Winans/Lakeland,0.45862015512776555,0.3494955025498292
