p1,p2,r,p,var_set_1,var_set_2,p_adjust_bh
totsites,PercBlk,-0.08236644240926645,0.5537754397805157,dep,ind,0.6179812878710103
totsites,PercWhite,0.09950625859145834,0.47406008980247427,dep,ind,0.5378992278469171
totsites,mhhi20,0.19155179739137213,0.16527014725814299,dep,ind,0.22325967261187737
totsites,bahigher20,0.25563243647119016,0.06208572521514057,dep,ind,0.10865001912649601
totsites,avg_temp,0.026280621656360838,0.8503781041062015,dep,ind,0.8615672896865462
totsites,vacant20,0.10724960816278502,0.4401679256986345,dep,ind,0.5135292466484069
totsites,PercentImp,0.0329923231760796,0.8127850995481352,dep,ind,0.85084199644838
percent_filled,PercBlk,-0.6111831624442812,9.166722769418788e-7,dep,ind,8.822970665565584e-6
percent_filled,PercWhite,0.578838867518928,4.539226932666701e-6,dep,ind,3.8835608201703996e-5
percent_filled,mhhi20,0.44842640336973866,6.722259766412859e-4,dep,ind,0.003450760013425268
percent_filled,bahigher20,0.6297664937230104,3.3635553029643174e-7,dep,ind,4.3165626388042075e-6
percent_filled,avg_temp,0.24248457780491042,0.07728396599651671,dep,ind,0.13224145292737302
percent_filled,vacant20,-0.20276426357575403,0.14143569567669861,dep,ind,0.20167682531677394
percent_filled,PercentImp,0.28748143825164174,0.03504501991089273,dep,ind,0.07026358946680908
pct_2.97,PercBlk,0.31204873634164554,0.021612311567377255,dep,ind,0.05042872699054693
pct_2.97,PercWhite,-0.32675617304928395,0.015883666034532277,dep,ind,0.03878692335600319
pct_2.97,mhhi20,-0.23391377879100683,0.08868139420078593,dep,ind,0.14500314699787475
pct_2.97,bahigher20,-0.3969924540582451,0.002956548128387361,dep,ind,0.012647455882545932
pct_2.97,avg_temp,-0.6154876397618124,7.308910462559122e-7,dep,ind,8.039801508815034e-6
pct_2.97,vacant20,-0.28405560968279253,0.03737687582155702,dep,ind,0.07195048595649726
pct_2.97,PercentImp,-0.8149009624879491,6.448357433269768e-14,dep,ind,4.9652352236177214e-12
rare_rich,PercBlk,-0.1434216017222732,0.3008420586503279,dep,ind,0.3563821310165423
rare_rich,PercWhite,0.2327035251135982,0.09039157215451932,dep,ind,0.14500314699787475
rare_rich,mhhi20,0.22442192643695213,0.10279451282867534,dep,ind,0.15830354975616004
rare_rich,bahigher20,0.17358465870547565,0.20937368975698845,dep,ind,0.27357684596245724
rare_rich,avg_temp,-0.6624951794016039,4.8524773917694087e-8,dep,ind,9.341018979156111e-7
rare_rich,vacant20,-0.35021154520341413,0.009429267720535244,dep,ind,0.026890874610415325
rare_rich,PercentImp,-0.6537385011435625,8.334791917362415e-8,dep,ind,1.283557955273812e-6
Evar,PercBlk,0.2866671614983069,0.03558805180786434,dep,ind,0.07026358946680908
Evar,PercWhite,-0.24072386466920492,0.07952539807992369,dep,ind,0.13311860113378532
Evar,mhhi20,-0.19346911397916003,0.16099916032119937,dep,ind,0.22137384544164915
Evar,bahigher20,-0.34104146820430264,0.01161430427984061,dep,ind,0.029810047651590902
Evar,avg_temp,-0.44934169916504796,6.533312243573661e-4,dep,ind,0.003450760013425268
Evar,vacant20,-0.17106058690435222,0.21617612107421982,dep,ind,0.27357684596245724
Evar,PercentImp,-0.5037156526969307,1.0323347501835757e-4,dep,ind,6.624147980344611e-4
spave,PercBlk,-0.016471150214621984,0.905898449266402,dep,ind,0.905898449266402
spave,PercWhite,-0.02911641517734917,0.8344491064166933,dep,ind,0.8567010825878051
spave,mhhi20,-0.09928962029321063,0.4750278895271476,dep,ind,0.5378992278469171
spave,bahigher20,-0.1955177309465593,0.15652574194857238,dep,ind,0.21913603872800133
spave,avg_temp,-0.3260683838556883,0.016119240875222107,dep,ind,0.03878692335600319
spave,vacant20,-0.20306521043654877,0.1408333657442259,dep,ind,0.20167682531677394
spave,PercentImp,-0.266483780738064,0.051437946889092145,dep,ind,0.09430290263000227
AvgDBH_smallmed,PercBlk,0.3024900418511918,0.026202754957591976,dep,ind,0.05934153328631124
AvgDBH_smallmed,PercWhite,-0.16828407726219086,0.22383560124201043,dep,ind,0.27357684596245724
AvgDBH_smallmed,mhhi20,-0.03211230341117164,0.8176923082750664,dep,ind,0.85084199644838
AvgDBH_smallmed,bahigher20,-0.06615692703801228,0.6345745677979573,dep,ind,0.698032024577753
AvgDBH_smallmed,avg_temp,-0.5234548610067128,4.875362442469695e-5,dep,ind,3.7540290807016653e-4
AvgDBH_smallmed,vacant20,-0.16853296709190252,0.22314140903901766,dep,ind,0.27357684596245724
AvgDBH_smallmed,PercentImp,-0.5090791569058101,8.457949065026222e-5,dep,ind,5.920564345518356e-4
AvgDBH_large,PercBlk,0.288428320689782,0.03442220785574585,dep,ind,0.07026358946680908
AvgDBH_large,PercWhite,-0.17220958858662996,0.21306062837145354,dep,ind,0.27357684596245724
AvgDBH_large,mhhi20,-0.05007283933888408,0.7191652749502564,dep,ind,0.779939805227743
AvgDBH_large,bahigher20,-0.16122951972255292,0.24413786532798887,dep,ind,0.2937283692227366
AvgDBH_large,avg_temp,-0.7630699536711006,1.9807126253355003e-11,dep,ind,5.083829071694451e-10
AvgDBH_large,vacant20,-0.2979457171510244,0.028656756079648536,dep,ind,0.06129361717035937
